anterior.posterior,dorso.ventral
0.577835,-4.29380
0.629127,-4.18780
0.672031,-4.11199
0.789957,-4.06997
1.02174,-4.01103
1.17483,-3.97342
1.31023,-3.92610
1.46312,-3.87349
1.56815,-3.85171
1.72594,-3.83906
1.88837,-3.84636
2.04210,-3.85882
2.19582,-3.87127
2.32310,-3.87415
2.44173,-3.88719
2.34689,-4.01895
2.21702,-4.15630
2.16954,-4.21717
2.08780,-4.34370
2.02722,-4.40980
1.93059,-4.40140
1.75473,-4.37429
1.57443,-4.34226
1.37665,-4.31552
1.22318,-4.32308
0.994886,-4.31187
0.788650,-4.31031
0.573448,-4.29387
