anterior.posterior,dorso.ventral
-1.44081,-4.60786
-1.44222,-4.49774
-1.42964,-4.45247
-1.39048,-4.42678
-1.30313,-4.39529
-1.15405,-4.38779
-0.938977,-4.39422
-0.675843,-4.38482
-0.443352,-4.38094
-0.175960,-4.36145
0.104592,-4.34175
0.236127,-4.33455
0.319794,-4.35819
0.355207,-4.38263
0.395714,-4.46206
0.387967,-4.54230
0.336097,-4.60324
0.266553,-4.65447
0.170368,-4.68111
-0.000454435,-4.70399
-0.267846,-4.72347
-0.508854,-4.74752
-0.736895,-4.75633
-0.890363,-4.76390
-1.07002,-4.78192
-1.24568,-4.76983
-1.36851,-4.77188
-1.43475,-4.73794
-1.44423,-4.68302
-1.43204,-4.60772
