anterior.posterior,dorso.ventral
-3.40889,-2.02055
-3.32051,-2.06914
-3.14451,-2.10792
-2.95432,-2.11309
-2.75639,-2.15151
-2.55856,-2.18159
-2.38987,-2.22050
-2.22129,-2.25106
-2.05271,-2.28163
-1.94251,-2.32151
-1.78833,-2.36900
-1.67856,-2.37551
-1.64254,-2.33319
-1.63630,-2.24964
-1.65338,-2.05800
-1.69282,-1.83336
-1.73087,-1.71717
-1.88537,-1.64465
-2.06868,-1.60599
-2.20855,-1.53322
-2.27638,-1.37581
-2.34347,-1.27680
-2.40217,-1.26109
-2.45238,-1.33703
-2.52368,-1.48007
-2.67560,-1.60777
-2.77753,-1.64285
-2.89397,-1.68652
-3.05450,-1.71423
-3.13438,-1.75729
-3.25040,-1.83432
-3.37383,-1.90314
-3.46103,-1.94632
-3.48243,-1.98840
-3.45286,-2.01294
-3.40889,-2.02055
