anterior.posterior,dorso.ventral
-3.60393,-2.20738
-3.53503,-2.44822
-3.48236,-2.56416
-3.41602,-2.60478
-3.29883,-2.61951
-3.17380,-2.67584
-3.02651,-2.75682
-2.92351,-2.80517
-2.76944,-2.84432
-2.57108,-2.91611
-2.38068,-2.93797
-2.15361,-2.96756
-1.97051,-2.98953
-1.80956,-2.99519
-1.62657,-3.00883
-1.53185,-2.98221
-1.50356,-2.90664
-1.51226,-2.79831
-1.55053,-2.66543
-1.62567,-2.50814
-1.82435,-2.41133
-2.01508,-2.36444
-2.19829,-2.33412
-2.44073,-2.24638
-2.56523,-2.23177
-2.70414,-2.23409
-2.92379,-2.21272
-3.13635,-2.17454
-3.28321,-2.12693
-3.38589,-2.10361
-3.45921,-2.08814
-3.53984,-2.07280
-3.59070,-2.09868
-3.61920,-2.15757
-3.60393,-2.20738
