anterior.posterior,dorso.ventral
-3.44910,-2.64872
-3.44839,-2.70378
-3.43001,-2.76856
-3.37215,-2.83268
-3.34939,-2.89739
-3.29991,-2.99169
-3.24160,-3.09085
-3.19684,-3.16020
-3.11698,-3.22896
-3.03706,-3.30273
-2.85605,-3.38983
-2.71511,-3.43253
-2.53480,-3.46457
-2.38979,-3.48218
-2.22258,-3.51944
-2.05544,-3.55170
-1.86637,-3.58359
-1.73445,-3.60642
-1.54124,-3.61822
-1.40081,-3.62088
-1.31327,-3.60440
-1.26108,-3.56848
-1.24430,-3.50812
-1.26745,-3.41338
-1.31222,-3.34403
-1.37466,-3.26497
-1.44155,-3.18097
-1.54347,-3.10257
-1.67996,-3.06479
-1.93032,-3.04394
-2.05302,-3.05600
-2.23319,-3.03397
-2.43085,-3.01724
-2.58934,-2.97483
-2.85350,-2.90414
-3.03458,-2.81203
-3.20236,-2.72972
-3.35259,-2.64711
-3.40981,-2.63305
-3.44471,-2.64865
