anterior.posterior,dorso.ventral
-5.08575,-1.61462
-4.89909,-1.11584
-4.95464,-1.23192
-4.99671,-1.37281
-5.03472,-1.48860
-5.15395,-1.77096
-5.18725,-1.91171
-5.21196,-2.03729
-5.22371,-2.14763
-5.20991,-2.19747
-5.16547,-2.24178
-5.10818,-2.26086
-5.06813,-2.30525
-5.04968,-2.37503
-5.02602,-2.50982
-4.97152,-2.65410
-4.91212,-2.83836
-4.83001,-3.08232
-4.79815,-3.17190
-4.74410,-3.28115
-4.67676,-3.40019
-4.59220,-3.49390
-4.52079,-3.58784
-4.46732,-3.65203
-4.41894,-3.66124
-4.34901,-3.64004
-4.27444,-3.63880
-4.19045,-3.68746
-4.11072,-3.74621
-4.00880,-3.82462
-3.88921,-3.91274
-3.80083,-3.96134
-3.62434,-4.03850
-3.47868,-4.10616
-3.29774,-4.18825
-3.16576,-4.21609
-2.89740,-4.27169
-2.66459,-4.29284
-2.48010,-4.30979
-2.33095,-4.30730
-2.13362,-4.29900
-1.86603,-4.29453
-1.69515,-4.27666
-1.58999,-4.26489
-1.53780,-4.22898
-1.50787,-4.16840
-1.53063,-4.10369
-1.59275,-4.04965
-1.66752,-4.03588
-1.89124,-4.03961
-2.19385,-4.04967
-2.52749,-4.03521
-2.77340,-4.01929
-2.99763,-3.98298
-3.20483,-3.90633
-3.37680,-3.83910
-3.54039,-3.74170
-3.67798,-3.61883
-3.81957,-3.52607
-3.92607,-3.43272
-4.09004,-3.30528
-4.17912,-3.20163
-4.29104,-3.02826
-4.39372,-2.88979
-4.50538,-2.73644
-4.58646,-2.57258
-4.64541,-2.42336
-4.70951,-2.21415
-4.76466,-2.01981
-4.79335,-1.83504
-4.78676,-1.66470
-4.77978,-1.52440
-4.71991,-1.40324
-4.74421,-1.21840
-4.74640,-1.04821
-4.81761,-0.969289
-4.89916,-1.11084
