anterior.posterior,dorso.ventral
-5.24747,-2.34829
-5.20431,-2.29250
-5.14289,-2.29147
-5.09851,-2.33079
-5.07091,-2.43046
-5.02448,-2.62995
-4.97359,-2.83438
-4.90465,-3.07855
-4.82351,-3.24743
-4.70244,-3.45068
-4.54183,-3.65828
-4.43907,-3.80176
-4.28253,-4.03446
-4.19351,-4.13311
-4.07373,-4.23625
-3.83918,-4.39255
-3.65327,-4.51962
-3.55619,-4.56306
-3.45053,-4.59134
-3.23958,-4.61786
-3.02890,-4.62435
-2.83124,-4.64108
-2.64681,-4.65302
-2.39232,-4.65378
-2.22124,-4.65093
-2.06365,-4.62327
-1.94108,-4.60119
-1.80961,-4.58899
-1.63853,-4.58613
-1.53325,-4.58437
-1.48461,-4.61360
-1.46655,-4.65335
-1.47894,-4.71364
-1.51778,-4.76436
-1.65770,-4.80174
-1.78898,-4.82896
-1.89800,-4.88085
-1.97187,-4.93715
-2.08909,-5.03424
-2.19296,-5.14612
-2.27064,-5.24755
-2.33928,-5.36885
-2.39445,-5.51497
-2.45362,-5.69119
-2.52104,-5.90760
-2.59660,-6.17422
-2.65686,-6.26534
-2.83511,-6.39349
-3.04464,-6.47709
-3.27242,-6.50592
-3.41757,-6.47831
-3.63450,-6.32672
-3.84724,-6.16004
-4.10964,-5.88405
-4.25742,-5.65120
-4.40494,-5.43837
-4.53872,-5.27038
-4.69830,-5.14287
-4.77842,-5.05409
-4.92334,-4.70103
-5.08627,-4.31323
-5.14605,-4.09894
-5.21512,-3.84475
-5.24872,-3.62001
-5.27050,-3.28993
-5.26938,-3.03457
-5.27413,-2.66416
-5.25889,-2.48366
-5.24747,-2.34829
