anterior.posterior,dorso.ventral
0.417887,-3.79580
0.592134,-3.69777
0.748256,-3.55497
0.874121,-3.44773
0.999216,-3.28043
1.11644,-3.18334
1.26507,-3.14081
1.37480,-3.14398
1.45859,-3.17763
1.53406,-3.24647
1.57476,-3.34091
1.60237,-3.44059
1.61700,-3.55550
1.63164,-3.67041
1.61524,-3.76080
1.53661,-3.78715
1.36643,-3.86008
1.19599,-3.91299
1.00355,-3.96126
0.719258,-4.03109
0.435153,-4.11594
0.194658,-4.18004
0.0108049,-4.21314
-0.208078,-4.25184
-0.304712,-4.24344
-0.366125,-4.24447
-0.388571,-4.20479
-0.385339,-4.11461
-0.320374,-4.04844
-0.241992,-4.00208
-0.0888446,-3.96948
0.0511426,-3.93710
0.217193,-3.88427
0.335055,-3.83724
0.426661,-3.79566
