anterior.posterior,dorso.ventral
-0.454141,-0.344063
-0.255566,-0.432538
-0.107955,-0.538553
0.00267314,-0.611807
0.0992138,-0.727018
0.209842,-0.800272
0.371754,-0.881015
0.496791,-0.937339
0.651285,-1.00986
0.827606,-1.07367
0.960167,-1.14656
1.04908,-1.23687
1.13852,-1.36889
1.21323,-1.49281
1.28074,-1.62519
1.34212,-1.84947
1.41747,-2.02344
1.44822,-2.13975
1.48013,-2.34783
1.50592,-2.64780
1.52310,-2.84778
1.54072,-3.08113
1.60156,-3.26370
1.63951,-3.37154
1.67035,-3.49619
1.70142,-3.63753
1.71012,-3.74587
1.74731,-3.79531
1.83515,-3.80219
2.12792,-3.82234
2.33284,-3.83561
2.47196,-3.84997
2.57325,-3.76484
2.67464,-3.68805
2.69540,-3.59591
2.63402,-3.37163
2.60200,-3.15521
2.55450,-2.87229
2.50774,-2.64777
2.40949,-2.39908
2.25275,-2.15136
2.11795,-1.90328
1.93938,-1.66427
1.84252,-1.52403
1.67986,-1.38489
1.50151,-1.16256
1.30186,-0.990659
1.08007,-0.802438
0.514447,-0.603266
0.257384,-0.515767
0.0446148,-0.460907
-0.248790,-0.390703
-0.439518,-0.343819
