anterior.posterior,dorso.ventral
1.24177,-0.866495
1.43400,-1.03018
1.55258,-1.15336
1.67847,-1.27643
1.80425,-1.39115
1.90079,-1.50637
1.99733,-1.62158
2.10882,-1.76157
2.22094,-1.95162
2.31049,-2.09199
2.38531,-2.22425
2.47476,-2.35627
2.51991,-2.45565
2.55860,-2.62189
2.63642,-2.98775
2.68328,-3.22061
2.72283,-3.45360
2.74615,-3.56169
2.83927,-3.40993
2.88884,-3.28394
2.96659,-3.07403
3.03649,-2.82253
3.07069,-2.63838
3.07458,-2.37129
3.03450,-2.09659
2.94399,-1.88115
2.81014,-1.70815
2.63265,-1.55256
2.45579,-1.44704
2.33075,-1.39071
2.09498,-1.25279
1.93318,-1.18039
1.74170,-1.07511
1.50636,-0.970558
1.25628,-0.857909
