anterior.posterior,dorso.ventral
-4.43126,-3.72653
-4.35979,-3.82547
-4.25704,-3.96895
-4.13236,-4.11206
-4.02153,-4.20033
-3.86685,-4.28787
-3.71636,-4.39050
-3.57483,-4.47826
-3.42511,-4.52082
-3.21423,-4.54233
-2.91574,-4.55237
-2.66545,-4.56822
-2.26607,-4.57658
-1.99004,-4.54694
-1.79715,-4.53370
-1.61291,-4.53063
-1.52086,-4.52409
-1.48215,-4.46336
-1.47447,-4.37812
-1.52343,-4.32386
-1.74301,-4.30750
-2.28676,-4.33159
-2.69911,-4.33848
-3.02881,-4.28891
-3.30581,-4.24346
-3.59674,-4.13817
-3.81316,-4.02663
-4.02990,-3.89006
-4.16723,-3.78721
-4.24270,-3.71838
-4.29134,-3.68915
-4.36579,-3.70040
-4.43126,-3.72653
