anterior.posterior,dorso.ventral
-2.52776,-6.06793
-2.45556,-5.88148
-2.38807,-5.67007
-2.30393,-5.38829
-2.22632,-5.28186
-2.13168,-5.13508
-2.00581,-5.02784
-1.84937,-4.91008
-1.66145,-4.85187
-1.42502,-4.81287
-1.21891,-4.80443
-0.863402,-4.81352
-0.516986,-4.79772
-0.214437,-4.78266
0.123269,-4.77202
0.592895,-4.78420
0.930858,-4.79358
1.25928,-4.74304
1.49094,-4.67409
1.67911,-4.63590
1.85851,-4.59786
1.94167,-4.58145
1.76999,-4.87971
1.59805,-5.15795
1.49463,-5.30487
1.30406,-5.49830
1.18684,-5.59539
1.00472,-5.76365
0.817889,-5.90695
0.669385,-5.95950
0.516687,-6.02713
0.338311,-6.14526
0.208187,-6.26259
0.0869654,-6.38978
-0.0598704,-6.57247
-0.208054,-6.65004
-0.351529,-6.75257
-0.613829,-6.82704
-0.933860,-6.84740
-1.30685,-6.84362
-1.71964,-6.81546
-1.94826,-6.77922
-2.19043,-6.71317
-2.23926,-6.66892
-2.29273,-6.60473
-2.38703,-6.43607
-2.46359,-6.28215
-2.52674,-6.14802
-2.53647,-6.07308
