anterior.posterior,dorso.ventral
-1.83924,-0.108501
-2.11018,-0.0796444
-2.29306,-0.0743521
-2.43939,-0.0684497
-2.49670,-0.161195
-2.53101,-0.337002
-2.55705,-0.587770
-2.59760,-0.847126
-2.64632,-1.03986
-2.76094,-1.22535
-2.91309,-1.33637
-3.22607,-1.45007
-3.43734,-1.51201
-3.65614,-1.55738
-3.84580,-1.59393
-3.99202,-1.59637
-4.02836,-1.61366
-4.05686,-1.67255
-4.03375,-1.76395
-3.97419,-1.84640
-3.87808,-1.92824
-3.76766,-1.98481
-3.67940,-2.02506
-3.61370,-2.01562
-3.53403,-1.95588
-3.49113,-1.88006
-3.37533,-1.78634
-3.15706,-1.69925
-2.96794,-1.62100
-2.80000,-1.60151
-2.65506,-1.49895
-2.48926,-1.31261
-2.37431,-1.15214
-2.32602,-0.926038
-2.24235,-0.607552
-2.13568,-0.372126
-2.02751,-0.253499
-1.94074,-0.176950
-1.83924,-0.108501
