anterior.posterior,dorso.ventral
-1.75861,-0.123844
-1.48025,-0.160921
-1.19459,-0.197876
-0.872047,-0.259249
-0.674114,-0.297668
-0.549398,-0.328964
-0.453499,-0.394119
-0.320938,-0.467007
-0.210524,-0.523576
-0.0998954,-0.596830
-0.00399635,-0.661985
0.0703973,-0.760877
0.137052,-0.826521
0.327995,-0.890090
0.460663,-0.971320
0.563659,-1.01967
0.754923,-1.10827
0.887484,-1.18115
0.961236,-1.22999
1.02079,-1.31244
1.08788,-1.41145
1.18506,-1.57672
1.26031,-1.74236
1.31373,-1.91670
1.36694,-2.07435
1.41284,-2.23213
1.44550,-2.49861
1.45559,-2.71540
1.46494,-2.87379
1.47342,-2.96544
1.43762,-3.02444
1.25527,-3.06087
1.16044,-3.07914
1.08066,-3.13054
1.00808,-3.17347
0.846705,-3.13444
0.640820,-3.04609
0.368814,-2.93380
0.184968,-2.85343
0.0229489,-2.76434
-0.124448,-2.67501
-0.206046,-2.58458
-0.302373,-2.48606
-0.420633,-2.38790
-0.583187,-2.25710
-0.731332,-2.10937
-0.856689,-2.02802
-1.07752,-1.91488
-1.17374,-1.82470
-1.29899,-1.75169
-1.51928,-1.68027
-1.76162,-1.60087
-1.93052,-1.54527
-2.11436,-1.46490
-2.18123,-1.38257
-2.25584,-1.26699
-2.28647,-1.15902
-2.28808,-1.03388
-2.28205,-0.933649
-2.23947,-0.832804
-2.19000,-0.698467
-2.15473,-0.597745
-2.09816,-0.446600
-2.05569,-0.337414
-1.97655,-0.235959
-1.86043,-0.167265
-1.75861,-0.123844
