anterior.posterior,dorso.ventral
-1.14376,-3.59323
-0.982915,-3.59054
-0.734340,-3.58639
-0.412760,-3.57268
-0.222887,-3.55282
-0.0255954,-3.54119
0.179114,-3.53777
0.383823,-3.53435
0.559503,-3.54811
0.639817,-3.53843
0.741423,-3.47832
0.835505,-3.40165
0.900021,-3.30044
0.921206,-3.24167
0.803587,-3.19357
0.575448,-3.08056
0.288820,-2.96852
0.0757302,-2.88863
-0.0717739,-2.79096
-0.234221,-2.66850
-0.544921,-2.38997
-0.744350,-2.23476
-0.907118,-2.08727
-1.06172,-2.00641
-1.23148,-1.88407
-1.51112,-1.74688
-1.62132,-1.70700
-1.67249,-1.70786
-1.64197,-1.80748
-1.61886,-1.89888
-1.60124,-2.13223
-1.58523,-2.24045
-1.54707,-2.36498
-1.53805,-2.49834
-1.50688,-2.64802
-1.46141,-2.77242
-1.42981,-2.95548
-1.42821,-3.08062
-1.36854,-3.17141
-1.30167,-3.25374
-1.24975,-3.31128
-1.21223,-3.38576
-1.18923,-3.46882
-1.18784,-3.57727
-1.14376,-3.59323
