anterior.posterior,dorso.ventral
-4.61831,-1.45662
-4.68843,-1.46279
-4.72746,-1.49849
-4.74437,-1.54884
-4.75205,-1.63408
-4.74129,-1.78911
-4.71724,-1.95393
-4.68435,-2.12361
-4.62966,-2.28291
-4.57954,-2.42727
-4.52053,-2.58149
-4.45770,-2.69059
-4.36385,-2.82420
-4.28316,-2.95804
-4.21150,-3.07199
-4.08198,-3.25007
-3.94026,-3.35285
-3.82034,-3.46600
-3.69643,-3.54904
-3.56787,-3.65204
-3.40873,-3.74451
-3.26314,-3.80717
-3.08677,-3.87432
-2.92376,-3.92667
-2.72146,-3.96335
-2.48859,-3.98950
-2.29100,-4.00122
-2.07605,-3.99764
-1.88756,-3.98448
-1.65487,-3.99562
-1.59359,-3.98458
-1.54146,-3.94366
-1.52468,-3.88330
-1.52990,-3.81830
-1.57486,-3.73393
-1.65008,-3.68512
-1.77335,-3.65213
-1.93178,-3.61472
-2.18678,-3.57392
-2.41973,-3.54276
-2.69240,-3.49224
-2.89044,-3.44547
-3.04494,-3.37295
-3.23155,-3.19082
-3.31650,-3.06707
-3.36636,-2.94273
-3.45130,-2.81899
-3.57250,-2.60572
-3.63210,-2.40645
-3.67750,-2.28705
-3.73632,-2.14784
-3.81173,-2.08401
-3.90920,-2.01054
-4.00679,-1.92705
-4.07846,-1.81310
-4.09697,-1.73830
-4.11547,-1.66351
-4.17798,-1.57944
-4.26629,-1.53586
-4.40685,-1.52318
-4.50813,-1.49483
-4.56541,-1.47576
-4.61392,-1.45654
