anterior.posterior,dorso.ventral
-3.09478,-6.67319
-3.20521,-6.61495
-2.95802,-6.73098
-2.76882,-6.77289
-2.60155,-6.81516
-2.47414,-6.82805
-2.32487,-6.83557
-2.22398,-6.83389
-2.10999,-6.82698
-2.17198,-6.78295
-2.27364,-6.72457
-2.35834,-6.62084
-2.40768,-6.53655
-2.45715,-6.44225
-2.51559,-6.33308
-2.55145,-6.27360
-2.58661,-6.26918
-2.62570,-6.29987
-2.67325,-6.35574
-2.73835,-6.41190
-2.82531,-6.47343
-2.89962,-6.49470
-3.02181,-6.54680
-3.10941,-6.55828
-3.21901,-6.56511
-3.28494,-6.55620
-3.20966,-6.61002
