anterior.posterior,dorso.ventral
-1.47050,-4.00255
-1.45043,-3.85702
-1.39450,-3.77098
-1.27683,-3.70893
-1.15419,-3.69186
-0.939314,-3.68327
-0.588319,-3.68242
-0.365114,-3.63864
-0.102301,-3.60422
0.0949047,-3.58591
0.257146,-3.57819
0.380100,-3.58615
0.459123,-3.58984
0.538211,-3.59853
0.569431,-3.63807
0.517433,-3.68900
0.382409,-3.76635
0.185973,-3.84473
-0.0589081,-3.90890
-0.286435,-3.95776
-0.382171,-4.01943
-0.407657,-4.08495
-0.432951,-4.16548
-0.489271,-4.22149
-0.589971,-4.23819
-0.765051,-4.27115
-0.958063,-4.27437
-1.16449,-4.25779
-1.35324,-4.25093
-1.43704,-4.21728
-1.46884,-4.13270
-1.47425,-4.05268
-1.46186,-3.99239
