anterior.posterior,dorso.ventral
-2.63027,-0.580648
-2.78305,-0.641609
-2.86262,-0.709692
-2.95606,-0.836419
-3.17368,-0.973562
-3.45785,-1.05340
-3.96887,-1.12034
-4.23207,-1.12474
-4.38560,-1.12730
-4.52451,-1.12962
-4.64912,-1.10666
-4.70729,-1.13267
-4.69901,-1.20763
-4.68289,-1.32418
-4.64527,-1.40700
-4.53518,-1.43854
-4.40315,-1.46972
-4.27876,-1.47598
-4.13211,-1.50691
-3.84666,-1.52718
-3.62775,-1.49015
-3.32165,-1.40994
-3.11758,-1.35647
-2.97963,-1.27907
-2.84190,-1.18498
-2.72738,-0.991147
-2.65673,-0.798046
-2.62877,-0.697445
-2.62285,-0.588868
