anterior.posterior,dorso.ventral
-7.12878,-1.62368
-7.07688,-5.10246
-6.68876,-5.14605
-6.35266,-5.12375
-5.89313,-5.03264
-5.52166,-4.91796
-5.22351,-4.78782
-5.15825,-4.74500
-5.23831,-4.20395
-5.31790,-3.12884
-5.27806,-2.24366
-5.08943,-1.55627
-4.94791,-1.18675
-5.04381,-1.12160
-5.14659,-1.08993
-5.24153,-1.09986
-5.30690,-1.13433
-5.37238,-1.16046
-5.52677,-1.09628
-5.67363,-1.04866
-5.84942,-1.02656
-6.01746,-1.03771
-6.16336,-1.06518
-6.33055,-1.14307
-6.49054,-1.21250
-6.61408,-1.27297
-6.79525,-1.40116
-7.01298,-1.52996
-7.12878,-1.62368
-7.11602,-2.04904
-7.02322,-1.87225
-6.84914,-1.76087
-6.74001,-1.71733
-6.61733,-1.59011
-6.52999,-1.44346
-6.31508,-1.32305
-6.05851,-1.25869
-5.86240,-1.26877
-5.68014,-1.33916
-5.56429,-1.47741
-5.46907,-1.60433
-5.37892,-1.79141
-5.31158,-1.91044
-5.37898,-1.78640
-5.47790,-1.59947
-5.55840,-1.48065
-5.67720,-1.34078
-5.85947,-1.26872
-6.05844,-1.26370
-6.31513,-1.31972
-6.52410,-1.44670
-6.62464,-1.59023
-6.73270,-1.71721
-6.84775,-1.75584
-7.03042,-1.88072
-7.11612,-2.04069
