anterior.posterior,dorso.ventral
-5.73392,-4.10374
-5.91797,-4.12184
-6.05796,-4.15421
-6.17576,-4.20624
-6.30194,-4.28846
-6.37123,-4.35971
-6.43568,-4.46592
-6.51710,-4.61748
-6.57208,-4.77861
-6.61808,-4.95461
-6.64254,-5.10022
-6.66197,-5.29580
-6.66469,-5.42602
-6.64032,-5.61587
-6.58505,-5.82022
-6.52972,-6.02958
-6.44909,-6.15840
-6.37756,-6.26235
-6.27557,-6.34576
-6.15204,-6.39877
-5.99819,-6.42124
-5.81434,-6.38813
-5.63093,-6.31998
-5.48733,-6.22747
-5.38307,-6.14562
-5.29759,-5.96896
-5.22539,-5.78251
-5.18899,-5.54158
-5.16155,-5.28578
-5.11026,-5.17978
-5.09419,-5.06436
-5.02625,-4.88800
-5.00663,-4.70743
-5.03919,-4.56278
-5.08447,-4.45339
-5.15149,-4.35938
-5.29779,-4.24166
-5.43893,-4.18393
-5.59323,-4.12643
-5.72954,-4.10367
