anterior.posterior,dorso.ventral
-5.23756,-4.26235
-5.16103,-4.52809
-5.10718,-4.73581
-5.02397,-4.95138
-4.94947,-5.05861
-4.81616,-5.18990
-4.69737,-5.32977
-4.57858,-5.46964
-4.45247,-5.60940
-4.34851,-5.73283
-4.22251,-5.86424
-4.14812,-5.96313
-4.03631,-6.12815
-3.88763,-6.31759
-3.71035,-6.45649
-3.56242,-6.58753
-3.34880,-6.70913
-3.13528,-6.82239
-2.87101,-6.90143
-2.57761,-6.97163
-2.34323,-7.00110
-2.10175,-7.01376
-1.86822,-6.97648
-1.69297,-6.95687
-1.43698,-6.96094
-1.14464,-6.94772
-0.903590,-6.92701
-0.662753,-6.88961
-0.436645,-6.84411
-0.254510,-6.79101
-0.0872113,-6.72146
-0.00850060,-6.58663
0.0996682,-6.46801
0.200526,-6.34950
0.323424,-6.23897
0.439224,-6.14525
0.591687,-6.05926
0.758772,-5.97303
0.591687,-6.05926
0.446535,-6.14513
0.330842,-6.24719
0.214934,-6.33257
0.106979,-6.46788
0.00622843,-6.59473
-0.0796864,-6.73802
0.0522332,-6.76085
0.227698,-6.75793
0.468749,-6.73721
0.767647,-6.66547
1.04376,-6.52735
1.24590,-6.32371
1.38934,-6.10436
1.45354,-5.97812
1.61987,-5.83349
1.80910,-5.76357
2.01952,-5.63490
2.14994,-5.54093
2.33176,-5.46280
2.49303,-5.49348
2.74192,-5.51436
3.09963,-5.46667
3.39100,-5.37836
3.65249,-5.24049
3.92097,-5.07746
4.13064,-4.89038
4.28224,-4.73765
4.46245,-4.53438
4.67804,-4.23872
4.79245,-4.03655
4.90676,-3.82603
4.99913,-3.61587
5.04000,-3.38155
5.04410,-3.13115
4.98262,-2.89853
4.85545,-2.67535
4.72203,-2.53572
4.59624,-2.42099
4.42670,-2.31535
4.22135,-2.26871
3.98697,-2.23924
3.74581,-2.25161
3.57819,-2.29613
3.41778,-2.33218
3.25747,-2.37658
3.13371,-2.42037
3.12854,-2.58735
3.10843,-2.72954
3.07433,-2.92203
3.00421,-3.15684
2.93281,-3.29155
2.83313,-3.50182
2.75485,-3.67002
2.65367,-3.76350
2.55271,-3.87366
2.42992,-3.99253
2.33615,-4.09423
2.25712,-4.20403
2.19992,-4.30511
2.08487,-4.45724
1.94831,-4.64309
1.88379,-4.74430
1.95562,-4.64297
2.08487,-4.45724
2.21454,-4.30487
2.26422,-4.18722
2.34336,-4.08576
2.43723,-3.99241
2.55991,-3.86519
2.65356,-3.75515
2.76205,-3.66155
2.83292,-3.48514
2.94023,-3.29977
3.01884,-3.15660
3.08906,-2.93013
3.11574,-2.72942
3.13596,-2.59557
3.14081,-2.40356
3.08568,-2.09574
3.01011,-1.90508
2.87584,-1.69870
2.69802,-1.51809
2.56535,-1.43686
2.36688,-1.35673
1.99855,-1.14592
1.68945,-0.992535
1.31435,-0.823562
0.976326,-0.695691
0.638841,-0.609535
0.359632,-0.505716
0,-0.403240
-0.389090,-0.284566
-0.850862,-0.200484
-1.15878,-0.138867
-1.42982,-0.101668
-1.74484,-0.0568584
-2.03061,-0.0115608
-2.33058,0.000122014
-2.55013,0.0131470
-2.82763,-0.0165176
-3.09072,-0.0292528
-3.40456,-0.0762128
-3.73270,-0.148445
-3.95107,-0.227189
-4.16912,-0.330962
-4.35813,-0.417561
-4.51038,-0.520236
-4.67672,-0.664868
-4.80607,-0.842260
-4.89930,-0.985672
-4.97038,-1.14540
-5.05490,-1.39715
-5.10416,-1.54817
-5.19706,-1.71661
-5.24546,-1.93437
-5.27902,-2.16858
-5.29065,-2.40242
-5.32261,-2.76176
-5.31694,-3.20393
-5.29601,-3.69590
-5.27087,-3.94582
-5.23014,-4.27057
