plate.id,mm.from.bregma,image.id,agea.id,done
100960520,5.345,1,0,0
100960516,5.24385496183206,2,99,1
100960512,5.14270992366412,3,198,0
100960508,5.04156488549618,4,298,1
100960504,4.94041984732824,5,397,1
100960500,4.8392748091603,6,496,1
100960496,4.73812977099237,7,595,1
100960492,4.63698473282443,8,695,1
100960488,4.53583969465649,9,794,1
100960484,4.43469465648855,10,893,1
100960480,4.33354961832061,11,992,1
100960476,4.23240458015267,12,1092,1
100960472,4.13125954198473,13,1191,1
100960468,4.03011450381679,14,1290,1
100960464,3.92896946564885,15,1389,1
100960460,3.82782442748092,16,1489,1
100960456,3.72667938931298,17,1588,1
100960452,3.62553435114504,18,1687,1
100960448,3.5243893129771,19,1786,1
100960444,3.42324427480916,20,1885,1
100960440,3.32209923664122,21,1985,1
100960437,3.22095419847328,22,2084,1
100960432,3.11980916030534,23,2183,1
100960428,3.0186641221374,24,2282,1
100960424,2.91751908396947,25,2382,1
100960420,2.81637404580153,26,2481,1
100960416,2.71522900763359,27,2580,1
100960413,2.61408396946565,28,2679,1
100960408,2.51293893129771,29,2779,1
100960404,2.41179389312977,30,2878,1
100960400,2.31064885496183,31,2977,1
100960396,2.20950381679389,32,3076,1
100960392,2.10835877862595,33,3176,1
100960388,2.00721374045802,34,3275,1
100960384,1.90606870229008,35,3374,1
100960380,1.80492366412214,36,3473,1
100960376,1.7037786259542,37,3573,1
100960372,1.60263358778626,38,3672,1
100960368,1.50148854961832,39,3771,1
100960365,1.40034351145038,40,3870,1
100960360,1.29919847328244,41,3969,1
100960356,1.1980534351145,42,4069,1
100960352,1.09690839694656,43,4168,1
100960348,0.995763358778626,44,4267,1
100960344,0.894618320610687,45,4366,1
100960340,0.793473282442748,46,4466,1
100960336,0.692328244274809,47,4565,1
100960333,0.59118320610687,48,4664,1
100960328,0.490038167938931,49,4763,1
100960324,0.388893129770992,50,4863,1
100960320,0.287748091603053,51,4962,1
100960316,0.186603053435114,52,5061,1
100960312,0.0854580152671751,53,5160,1
100960340,-0.0156870229007637,54,5260,1
100960309,-0.116832061068703,55,5359,1
100960305,-0.217977099236641,56,5458,1
100960301,-0.31912213740458,57,5557,1
100960297,-0.420267175572519,58,5656,1
100960293,-0.521412213740458,59,5756,1
100960289,-0.622557251908398,60,5855,1
100960284,-0.723702290076337,61,5954,1
100960280,-0.824847328244275,62,6053,1
100960276,-0.925992366412214,63,6153,1
100960273,-1.02713740458015,64,6252,1
100960268,-1.12828244274809,65,6351,1
100960264,-1.22942748091603,66,6450,1
100960260,-1.33057251908397,67,6550,1
100960256,-1.43171755725191,68,6649,1
100960252,-1.53286259541985,69,6748,1
100960248,-1.63400763358779,70,6847,1
100960244,-1.73515267175573,71,6947,1
100960240,-1.83629770992366,72,7046,1
100960236,-1.9374427480916,73,7145,1
100960232,-2.03858778625954,74,7244,1
100960228,-2.13973282442748,75,7344,1
100960224,-2.24087786259542,76,7443,1
100960084,-2.34202290076336,77,7542,1
100960092,-2.4431679389313,78,7641,1
100960088,-2.54431297709924,79,7740,1
100960081,-2.64545801526718,80,7840,1
100960076,-2.74660305343512,81,7939,1
100960073,-2.84774809160305,82,8038,1
100960069,-2.94889312977099,83,8137,1
100960065,-3.05003816793893,84,8237,1
100960061,-3.15118320610687,85,8336,1
100960057,-3.25232824427481,86,8435,1
100960053,-3.35347328244275,87,8534,1
100960049,-3.45461832061069,88,8634,1
100960044,-3.55576335877863,89,8733,1
100960525,-3.65690839694656,90,8832,1
100960041,-3.7580534351145,91,8931,1
100960037,-3.85919847328244,92,9031,1
100960033,-3.96034351145038,93,9130,1
100966117,-4.06148854961832,94,9229,1
100966113,-4.16263358778626,95,9328,1
100966108,-4.2637786259542,96,9427,1
100966105,-4.36492366412214,97,9527,1
100966101,-4.46606870229008,98,9626,1
100966096,-4.56721374045802,99,9725,1
100966092,-4.66835877862596,100,9824,1
100966088,-4.76950381679389,101,9924,1
100960221,-4.87064885496183,102,10023,1
100960216,-4.97179389312977,103,10122,1
100960212,-5.07293893129771,104,10221,1
100960208,-5.17408396946565,105,10321,1
100960204,-5.27522900763359,106,10420,1
100960200,-5.37637404580153,107,10519,1
100960197,-5.47751908396947,108,10618,1
100960192,-5.5786641221374,109,10718,1
100960188,-5.67980916030534,110,10817,0
100960184,-5.78095419847328,111,10916,0
100960181,-5.88209923664122,112,11015,0
100960176,-5.98324427480916,113,11115,0
100960172,-6.0843893129771,114,11214,0
100960168,-6.18553435114504,115,11313,0
100960165,-6.28667938931298,116,11412,0
100960160,-6.38782442748092,117,11511,0
100960156,-6.48896946564885,118,11611,0
100960152,-6.5901145038168,119,11710,0
100960148,-6.69125954198473,120,11809,0
100960144,-6.79240458015267,121,11908,0
100960140,-6.89354961832061,122,12008,0
100960136,-6.99469465648855,123,12107,0
100960132,-7.09583969465649,124,12206,0
100960128,-7.19698473282443,125,12305,0
100960124,-7.29812977099237,126,12405,0
100960120,-7.39927480916031,127,12504,0
100960116,-7.50041984732824,128,12603,0
100960112,-7.60156488549618,129,12702,0
100960108,-7.70270992366412,130,12802,0
100960104,-7.80385496183206,131,12901,0
100960101,-7.905,132,13000,0
